Date covered,Theme,Status,Title,Drafted date,Medium date,LI date,Medium URL,LinkedIn URL,Notes
May 29,building,LinkedIn,From CLI to GitHub Integration: When Prototypes Meet Real Workflows,June 27,July 10,July 11,https://medium.com/building-piper-morgan/from-cli-to-web-app-when-prototypes-meet-real-workflows-c7207687f711,https://www.linkedin.com/pulse/from-command-line-web-app-when-prototypes-meet-real-crumlish-prsgc/,
May 29,process,LinkedIn,The Architectural Reckoning: When Three Experts Agree You Should Start Over,July 7,July 11,July 12,https://medium.com/building-piper-morgan/the-architectural-reckoning-when-three-experts-agree-you-should-start-over-1f9581a41633,https://www.linkedin.com/pulse/architectural-reckoning-when-three-experts-agree-you-should-crumlish-hoyoc/,
June 1,building,Notion,Building an AI PM Assistant the Right Way,,July 11?,,,,covered in the next 3
May 27,process,LinkedIn,The Question That Started Everything,July 8,July 13,July 13,https://medium.com/building-piper-morgan/the-question-that-started-everything-5a69f9a2af0b,https://www.linkedin.com/pulse/question-started-everything-christian-crumlish-18dwc/,
June 1,building,LinkedIn,The $0 Bootstrap Stack: Building Enterprise Infrastructure for Free (With Upgrade Paths),July 7,July 11,July 14,https://medium.com/building-piper-morgan/the-0-bootstrap-stack-building-enterprise-infrastructure-for-free-with-upgrade-paths-078e056a87e4,https://www.linkedin.com/pulse/0-bootstrap-stack-building-enterprise-infrastructure-free-crumlish-1hgzc/,
June 2,building,LinkedIn,From Task Executor to Problem Solver (comes befofe Domain-First Dev),July 12,July 12,July 15,https://medium.com/building-piper-morgan/from-task-executor-to-problem-solver-13896a87b7a9,https://www.linkedin.com/pulse/from-task-executor-problem-solver-christian-crumlish-yha5c/,
June 2,building,LinkedIn,Domain-First Development: Actually Building What We Designed,July 8,July 11,July 16,https://medium.com/building-piper-morgan/domain-first-development-actually-building-what-we-designed-647704d46558,https://www.linkedin.com/pulse/domain-first-development-actually-building-what-we-christian-crumlish-1meic/,
June 2,building,LinkedIn,Building AI That Actually Thinks About Product Work,July 12,July 14,July 17,https://medium.com/building-piper-morgan/building-ai-that-actually-thinks-about-product-work-4c04e304a3a7,https://www.linkedin.com/pulse/building-ai-actually-thinks-product-work-christian-crumlish-qxg4c/,
June 3,building,Notion,From Mock to Mind: Giving Piper Morgan Real Intelligence,,,,,,check if redundant with learning infrastructure post
June 2,building,LinkedIn,Persistence of Memory: AI Can't Learn without It,July 12,July 15,July 18,https://medium.com/building-piper-morgan/persistence-of-memory-ai-cant-learn-without-it-d9f839597278,https://www.linkedin.com/pulse/persistence-memory-ai-cant-learn-without-christian-crumlish-3rsle/,
June 3,process,Session Log,Claude project planning,,,,,,
June 7,building,LinkedIn,Modeling What PMs Do for Piper,July 8,July 16,July 19,https://medium.com/building-piper-morgan/modeling-what-pms-do-for-piper-f6d7fac93e1f,https://www.linkedin.com/pulse/modeling-what-pms-do-piper-christian-crumlish-msiec/,
June 4,building,Notion,Building Piper Morgan's Memory: From Documents to Knowledge,,,,,,check for redundancy
June 23,process,LinkedIn,Day Zero or Deja Zero: When Chaos Became a Claude Project,July 10,July 20,July 20,https://medium.com/building-piper-morgan/day-zero-or-d%C3%A9j%C3%A0-zero-when-chaos-became-a-claude-project-2965731c90bc,https://www.linkedin.com/pulse/day-zero-d%C3%A9j%C3%A0-when-chaos-became-claude-project-christian-crumlish-d2s8c/?trackingId=FglxyedwQ%2FCaVP6d9HIo6Q%3D%3D,
June 5,building,Notion,Connecting Understanding to Action,,,,,,check for redundancy
June 8,building,LinkedIn,Small Scripts Win: Building Knowledge That Actually Knows Things,July 7,July 17,July 21,https://medium.com/building-piper-morgan/small-scripts-win-building-knowledge-that-actually-knows-things-360bd682551e,https://www.linkedin.com/pulse/small-scripts-win-building-knowledge-actually-knows-things-crumlish-s9e0c/,
June 7,building,Notion,From Architecture to Working AI PM Assistant,,,,,,check for redundancy
June 7,building,Notion,From Foundation to Feedback: Building the Learning Loop,,,,,,check for redundancy
June 15,building,LinkedIn,From Architecture Drift to Working AI,July 5,July 18,July 22,https://medium.com/building-piper-morgan/from-architecture-drift-to-working-ai-201f17c5cfbf,https://www.linkedin.com/pulse/from-architecture-drift-working-ai-christian-crumlish-shdaf/,
June 15,building,Medium,7/20: When Multiple AIs Can Still Drift Together,July 21,July 22,July 23,https://medium.com/building-piper-morgan/when-multiple-ais-can-still-drift-together-0caeeadf7ef5,,
June 16,building,Drafted,7/22: When Architecture Principles Trump Tactical Convenience,July 22,July 23,July 24,,,
June 9,building,Notion,From Analysis to Action: Completing PM-008 GitHub Issue Review,July 5,,,,,
June 14,process,Notion,Catching Architecture Drift on the Way to a Demoable GitHub Issue Analysis,,,,,,probably redundant
June 17,building,Drafted,7/20: Digging Out of the Complexity Hole,July 21,July 24,July 25,,,
June 18,building,Notion,Fighting Architectural Drift: Lessons from Test-Driven AI Development,,,,,,
May 29,process,Drafted,Naming Piper Morgan,July 21,July 26,July 26,,,
June 14,process,Drafted,Keeping Your AI Project on Track: Lessons from Building a Product Management Assistant,July 3,July 27,July 27,,,
June 19,building,Drafted,7/20: The Successful Prototype Syndrome,,July 25,July 28,,,
June 21,building,Drafted,When Your Docs Lie (June 21-22),July 22,July 28,July 29,,,June 21-22
June 23,building,Medium,7/16 to 7/18: The Cascade Effect: How Testing the UI Led to Architectural Discoveries,July 18,July 19,July 30,https://medium.com/building-piper-morgan/the-cascade-effect-how-testing-the-ui-led-to-architectural-discoveries-0b19d8a13665,,
June 24,building,Medium,The Integration Reality Check,July 18,July 21,Jul 31,https://medium.com/building-piper-morgan/the-integration-reality-check-72145777c406,,
June 25,building,Drafted,When TDD Saves Your Architecture,July 18,July 29,Aug 1,,,
May 30,building,Session Log,Gemini docs/arch,,Aug 2,Aug 2,,,
May 31,building,Session Log,Gemini debugging ,,Aug 3,Aug 3,,,
June 26,building,Drafted,The 48-Hour Rollercoaster: From 'LIFE SAVER' to 'Failed Attempt' and Back to Triumph,July 18,July 30,Aug 4,,,
June 26,building,Drafted,7/20: The Technical Debt Reckoning,July 21,July 31,Aug 5,,,
June 27,building,Medium,Integration Reveals All: How Building File Analysis Exposed Hidden Architecture,June 27,June 27,Aug 6,https://medium.com/building-piper-morgan/integration-reveals-all-how-building-file-analysis-exposed-hidden-architecture-3d696dbf2803,,
June 27,building,Drafted,7/20: When Your Tests Tell You What Your Code Should Do,July 21,Aug 1,Aug 7,,,
June 27,building,Drafted,7/20: Following Your Own Patterns,July 21,Aug 4,Aug 8,,,
June 28,building,Drafted,7/20: Battle-Testing Your Architecture,July 21,Aug 5,Aug 9,,,
June 14,process,Session Log,Piper 0.1.1 feature cleanup (for demoable branch) - catching architectural drift notion too,,Aug 10,Aug 10,,,
July 1,building,Drafted,The Real Bugs Live in the UI (A Testing Reality Check),July 8,Aug 6,Aug 11,,,
July 3,building,Drafted,"The Day We Stopped Fighting the System: A Tale of Technical Debt, TDD, and Knowing When to Pause",July 3,Aug 7,Aug 12,,,Claude's POV!
July 4,building,Drafted,The Day We Taught Piper to Summarize (Almost),July 4,Aug 8,Aug 13,,,
July 6,building,Drafted,The Zeno's Paradox of Debugging: A Weekend with Piper Morgan,July 6,Aug 9,Aug 14,,,
July 7,building,Drafted,The Debugging Cascade: A 90-Minute Journey Through Integration Hell,July 7,Aug 11,Aug 15,,,
July 8,building,Drafted,The Integration Bug Cascade: A Claude Code Case Study,July 8,Aug 12,Aug 16,,,x-link to code decision post
June 22,process,Drafted,The Demo That Broke (And Why That's Perfect),July 8,Aug 17,Aug 17,,,
July 9,building,Drafted,7/8: Two-Fisted Coding: Wrangling Robot Programmers When You're Just a PM,July 9,Aug 13,Aug 18,,,
July 12,building,Drafted,"Three Bugs, One Victory: The Day We Finally Shipped PM-011",July 13,Aug 14,Aug 19,,,
July 12,building,Drafted,The AI Detective Squad: When Three Agents Solve One Mystery,July 13,Aug 15,Aug 20,,,
July 13,building,Drafted,From 2% to 87%: The Great Test Suite Recovery,July 13,Aug 16,Aug 21,,,
July 13,building,Drafted,The Action Humanizer: Teaching AI to Speak Human,July 13,Aug 18,Aug 22,,,
July 14,building,Drafted,"7/12-7/13, 7/15 chat: From Broken Tests to Perfect Architecture: The Great Cleanup of July 14",July 15,Aug 19,Aug 23,,,
June 23,process,Medium,Teaching an AI to Sound Like Me (Without Losing My Mind),June 30,June 30,Aug 24,https://medium.com/building-piper-morgan/teaching-an-ai-to-write-like-me-without-losing-my-mind-4660787e98a1,,
July 15,building,Drafted,"7/12-7/13, 7/15 chat: When the Pupil Outsmarts the Teacher?",July 15,Aug 20,Aug 25,,,
July 16,building,Drafted,7/16 chat: When Your Tests Lie: A Victory Disguised as Crisis,July 16,Aug 21,Aug 26,,,
July 17,building,Drafted,7/16 chat: The 5-Minute Day: When TDD Meets AI-Assisted Development,July 17,Aug 22,Aug 27,,,
July 18,building,Drafted,7/16 chat: The 40-minute miracle: how two AI agents achieved 642x performance in one session,July 18,Aug 23,Aug 28,,,
July 20,building,Drafted,7/20 chat: When Your Infrastructure Gets Smarter Than Your Tests,July 20,Aug 25,Aug 29,,,
July 21,building,Drafted,7/20 chat: The Foundation Sprint: Why We Clean House Before Building New Rooms,July 21,Aug 26,Aug 30,,,
June 26,process,Medium,Session Logs: A Surprisingly Useful Practice for AI Development,June 27,June 27,Aug 31,https://medium.com/building-piper-morgan/the-session-log-revolution-how-structured-documentation-changed-everything-c73103da9907,,
June 27,process,Drafted,7/22: When Overconfidence Meets rm -rf: A GitHub Pages Debugging Tale,July 22,Aug 24,Sep 7,,,
July 3,process,Drafted,Why I Created an AI Chief of Staff,July 3,Aug 30,Sep 13,,,
July 3,process,Drafted,Making Strategic Technical Decisions with AI: The MCP Integration Story,July 3,Aug 31,Sep 14,,,MCP Decision
July 3,process,Drafted,Refining AI Chat Continuity for Complex Projects,July 8,Sep 7,Sep 21,,,
July 6,process,Drafted,When 80% Overhead Forces a Tool Change,July 6,Sep 20,Sep 27,,,Claude code Decision
July 8,process,Drafted,"When Building the MVP, Don't Forget to Dream",July 8,Sep 21,Sep 28,,,
July 7,process,Drafted,The Archaeology of Code (Or: How Session Logs Became Stories),July 8,Sep 27,Oct 4,,,Comms process
July 11,process,Drafted,Digital Archaeology of a Lost AI Development Weekend,July 12,Sep 28,Oct 5,,,
July 15,process,Drafted,"7/12-7/13, 7/15 chat: The Just-in-Time Retrospective: How Fresh Session Logs Became Our Content Strategy",July 15,Oct 4,Oct 11,,,
July 19,process,Drafted,7/16 chat: The three-AI orchestra: lessons from coordinating multiple AI agents,July 20,Oct 5,Oct 12,,,"July 12+13, 16, and 19, really"
June 27,process,Medium,REPLACE with BELOW: The Great Git Directory Massacre (And Other Cautionary Tales),June 30,June 30,xxxx,https://medium.com/building-piper-morgan/the-great-git-directory-massacre-and-other-cautionary-tales-a143610ce7f9,XXXXXXXXX,
June 27,building,Notion,Building for Learning,,,,,,
